Identifiant,Titre,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Cafetiere,Cles remises par l'hote,Couloir large,Cuisiniere,Depot des bagages autorise,Draps,Eau chaude,Entree large,Entree privee,Equipements de baes,Four,Lave-vaisselle,Lit-parapluie,Livres et jouets pour enfants,Oreillers et couvertures supplementaires,Refrigerateur,Sejour longue duree autorise,Ustensiles de cuisine de base,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible,id,prefixe,code,created,updated
"13767413",FAMILY FLAT WITH POOL & HUGE TERRASSE,69,AIX EN PROVENCE,13,Appartement en residence,3,Logement entier,4,1,2,0,,X,,,X,,X,,X,,X,X,,,X,X,,,,,,,,X,,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,7,,,"0",13001000KT,"000",KT,2000/01/24,2018/12/06
"13774921",T2 standing centre historique,100,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,,X,X,X,,,X,,X,X,,X,,,,X,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AB,"000",AB,1999/11/30,2018/12/06
"13791112",Grand studio calme/lumineux,49,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,Vrai lit,X,,,,,,X,,,,,,,,,,,X,X,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AK,"000",AK,1999/12/01,2018/12/06
"13791377",T1 40m2 centre historique lumineux avec terrasse,60,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,,X,,,X,,X,,X,,,,,,X,X,X,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AB,"000",AB,1999/11/30,2018/12/06
"13792013",Belle maison avec parking inclus,30,AIX EN PROVENCE,13,Maison,2,Chambre privee,2,1,1,0,Vrai lit,X,X,X,,,,,X,,X,X,,X,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,5,,,"0",13001000SL,"000",SL,2018/12/04,2018/12/06
"13794050",Petit appartement cozy proche du centre-ville,29,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,,X,,,X,,X,,X,X,,,,,,,,,X,X,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,7,,,"0",13001000CS,"000",CS,2002/10/24,2018/12/06
"13794296",Aix en Provence Centre Ville T3 Appt Charmant,75,AIX EN PROVENCE,13,Appartement,3,Logement entier,6,2,2,0,,X,X,X,X,,X,,X,,,X,X,X,X,X,,,,,,X,,,,,X,,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000AB,"000",AB,1999/11/30,2018/12/06
"13795002",chambre  a louer,32,AIX EN PROVENCE,13,Appartement,2,Chambre privee,2,1,1,0,Vrai lit,X,,X,,,,,X,,X,X,,,X,X,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",,,,,
"13796759",Joli petit duplexe centre historique,46,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,1,0,Vrai lit,X,,X,X,,X,,X,,,X,,X,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,5,,,"0",13001000AB,"000",AB,1999/11/30,2018/12/06
"13797667",Appartement au coeur d'Aix en Provence,60,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,1,0,Vrai lit,X,,X,X,,X,,X,,,,,,,X,,,,,,,,,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000AI,"000",AI,1999/12/01,2018/12/06
"13797843",Bel appartement - 80 m2,50,AIX EN PROVENCE,13,Appartement en residence,3,Logement entier,4,1,2,0,,X,,X,X,,X,,X,,X,X,,,X,X,,,,,,,,,,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000CP,"000",CP,1999/12/14,2018/12/06
"13804911",2 pieces tout confort avec parking,41,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,1,0,Vrai lit,X,,X,X,,X,,X,,X,X,,,,X,,,,X,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000MC,"000",MC,2000/02/09,2018/12/06
"13330829",Appart Centre Ville avec parking,90,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,X,X,,X,X,X,,X,X,,,,X,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000CV,"000",CV,2001/04/20,2019/12/19
"13342800",Appart confortable,90,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,2,0,,X,X,X,X,,X,X,X,,X,,,,,X,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000CY,"000",CY,1999/12/15,2018/12/06
"13347088",studio meuble 15 m2 Aix en Provence centre,38,AIX EN PROVENCE,13,Appartement,3,Logement entier,1,1,0,0,Vrai lit,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,7,,,"0",13001000AB,"000",AB,1999/11/30,2018/12/06
"13809832",Loft architecte hypercentre Wifi,75,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,15,1,0,,X,,,X,,X,,X,,,X,,,,X,,,,,X,,,,,,,X,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AM,"000",AM,1999/12/01,2018/12/06
"13818225",Appart-maison sur les hauteurs d'Aix-en-Provence,52,AIX EN PROVENCE,13,Appartement,3,Logement entier,5,1,1,0,,X,X,,X,,X,,X,,X,X,,X,X,X,,,,,X,,,,,,X,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,2,Chat(s),,"0",13001000EO,"000",EO,2000/01/06,2018/12/06
"13824888",Studio dans le centre historique de Aix,30,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,Vrai lit,X,,,X,,X,,,,,X,,,X,,X,,,,,,,,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",,,,,
